#q[A]	I[arb.]
0.002000	7985628.521
0.002028	7985623.262
0.002056	7985617.855
0.002085	7985612.297
0.002114	7985606.582
0.002143	7985600.707
0.002173	7985594.667
0.002204	7985588.458
0.002234	7985582.074
0.002265	7985575.511
0.002297	7985568.763
0.002329	7985561.827
0.002361	7985554.695
0.002394	7985547.363
0.002428	7985539.826
0.002462	7985532.077
0.002496	7985524.110
0.002531	7985515.920
0.002566	7985507.500
0.002602	7985498.843
0.002638	7985489.944
0.002675	7985480.794
0.002712	7985471.388
0.002750	7985461.718
0.002788	7985451.776
0.002827	7985441.555
0.002866	7985431.048
0.002906	7985420.245
0.002947	7985409.139
0.002988	7985397.721
0.003030	7985385.983
0.003072	7985373.915
0.003115	7985361.508
0.003158	7985348.754
0.003202	7985335.641
0.003247	7985322.160
0.003292	7985308.300
0.003338	7985294.052
0.003384	7985279.404
0.003432	7985264.344
0.003479	7985248.861
0.003528	7985232.944
0.003577	7985216.581
0.003627	7985199.757
0.003678	7985182.462
0.003729	7985164.681
0.003781	7985146.401
0.003833	7985127.608
0.003887	7985108.287
0.003941	7985088.424
0.003996	7985068.003
0.004052	7985047.009
0.004108	7985025.426
0.004166	7985003.237
0.004224	7984980.425
0.004282	7984956.973
0.004342	7984932.862
0.004403	7984908.075
0.004464	7984882.592
0.004526	7984856.393
0.004589	7984829.459
0.004653	7984801.769
0.004718	7984773.302
0.004784	7984744.036
0.004851	7984713.948
0.004918	7984683.015
0.004987	7984651.215
0.005056	7984618.522
0.005127	7984584.911
0.005198	7984550.356
0.005271	7984514.832
0.005344	7984478.310
0.005419	7984440.764
0.005494	7984402.163
0.005571	7984362.479
0.005648	7984321.682
0.005727	7984279.739
0.005807	7984236.618
0.005888	7984192.288
0.005970	7984146.713
0.006053	7984099.859
0.006138	7984051.690
0.006223	7984002.169
0.006310	7983951.257
0.006398	7983898.917
0.006487	7983845.108
0.006578	7983789.789
0.006669	7983732.917
0.006762	7983674.449
0.006856	7983614.339
0.006952	7983552.543
0.007049	7983489.012
0.007147	7983423.699
0.007247	7983356.552
0.007348	7983287.520
0.007450	7983216.552
0.007554	7983143.591
0.007659	7983068.583
0.007766	7982991.470
0.007874	7982912.192
0.007984	7982830.690
0.008096	7982746.901
0.008208	7982660.759
0.008323	7982572.201
0.008439	7982481.157
0.008556	7982387.559
0.008676	7982291.333
0.008797	7982192.408
0.008919	7982090.706
0.009044	7981986.150
0.009170	7981878.661
0.009297	7981768.155
0.009427	7981654.548
0.009558	7981537.754
0.009692	7981417.682
0.009827	7981294.241
0.009964	7981167.336
0.010103	7981036.870
0.010244	7980902.744
0.010386	7980764.854
0.010531	7980623.096
0.010678	7980477.360
0.010827	7980327.535
0.010978	7980173.507
0.011131	7980015.157
0.011286	7979852.365
0.011443	7979685.005
0.011603	7979512.950
0.011764	7979336.069
0.011928	7979154.225
0.012095	7978967.280
0.012263	7978775.091
0.012434	7978577.511
0.012608	7978374.388
0.012783	7978165.568
0.012961	7977950.890
0.013142	7977730.191
0.013325	7977503.302
0.013511	7977270.048
0.013699	7977030.253
0.013890	7976783.732
0.014084	7976530.298
0.014280	7976269.755
0.014479	7976001.907
0.014681	7975726.547
0.014886	7975443.465
0.015093	7975152.445
0.015304	7974853.264
0.015517	7974545.695
0.015733	7974229.502
0.015953	7973904.444
0.016175	7973570.272
0.016401	7973226.731
0.016629	7972873.559
0.016861	7972510.486
0.017096	7972137.236
0.017334	7971753.523
0.017576	7971359.054
0.017821	7970953.529
0.018069	7970536.638
0.018321	7970108.062
0.018577	7969667.476
0.018836	7969214.543
0.019098	7968748.918
0.019364	7968270.245
0.019634	7967778.160
0.019908	7967272.288
0.020185	7966752.243
0.020467	7966217.629
0.020752	7965668.039
0.021041	7965103.054
0.021335	7964522.244
0.021632	7963925.166
0.021934	7963311.367
0.022239	7962680.378
0.022549	7962031.720
0.022864	7961364.900
0.023182	7960679.409
0.023506	7959974.728
0.023833	7959250.319
0.024165	7958505.633
0.024502	7957740.103
0.024844	7956953.148
0.025190	7956144.171
0.025541	7955312.556
0.025897	7954457.673
0.026258	7953578.872
0.026624	7952675.488
0.026995	7951746.834
0.027372	7950792.207
0.027753	7949810.883
0.028140	7948802.118
0.028532	7947765.148
0.028930	7946699.188
0.029333	7945603.431
0.029742	7944477.047
0.030157	7943319.185
0.030577	7942128.968
0.031004	7940905.498
0.031436	7939647.849
0.031874	7938355.072
0.032318	7937026.190
0.032769	7935660.201
0.033225	7934256.075
0.033689	7932812.752
0.034158	7931329.145
0.034634	7929804.136
0.035117	7928236.577
0.035607	7926625.289
0.036103	7924969.059
0.036606	7923266.643
0.037117	7921516.760
0.037634	7919718.099
0.038158	7917869.308
0.038690	7915969.000
0.039230	7914015.753
0.039777	7912008.102
0.040331	7909944.545
0.040893	7907823.538
0.041463	7905643.495
0.042041	7903402.788
0.042627	7901099.745
0.043221	7898732.648
0.043824	7896299.731
0.044435	7893799.185
0.045054	7891229.147
0.045682	7888587.708
0.046319	7885872.904
0.046965	7883082.722
0.047619	7880215.092
0.048283	7877267.890
0.048956	7874238.935
0.049639	7871125.989
0.050331	7867926.750
0.051032	7864638.861
0.051743	7861259.896
0.052465	7857787.370
0.053196	7854218.729
0.053938	7850551.353
0.054689	7846782.550
0.055452	7842909.561
0.056225	7838929.552
0.057009	7834839.616
0.057803	7830636.767
0.058609	7826317.944
0.059426	7821880.005
0.060254	7817319.727
0.061094	7812633.801
0.061946	7807818.834
0.062809	7802871.346
0.063685	7797787.766
0.064573	7792564.430
0.065473	7787197.583
0.066385	7781683.372
0.067311	7776017.847
0.068249	7770196.955
0.069200	7764216.542
0.070165	7758072.350
0.071143	7751760.012
0.072135	7745275.053
0.073140	7738612.884
0.074160	7731768.803
0.075193	7724737.990
0.076242	7717515.509
0.077304	7710096.298
0.078382	7702475.174
0.079475	7694646.825
0.080582	7686605.813
0.081706	7678346.565
0.082845	7669863.376
0.083999	7661150.403
0.085170	7652201.664
0.086358	7643011.036
0.087561	7633572.251
0.088782	7623878.893
0.090020	7613924.398
0.091274	7603702.049
0.092547	7593204.976
0.093837	7582426.150
0.095145	7571358.383
0.096471	7559994.325
0.097816	7548326.464
0.099179	7536347.118
0.100562	7524048.439
0.101964	7511422.406
0.103385	7498460.824
0.104826	7485155.327
0.106287	7471497.366
0.107769	7457478.217
0.109271	7443088.974
0.110794	7428320.548
0.112339	7413163.666
0.113905	7397608.869
0.115492	7381646.512
0.117102	7365266.763
0.118735	7348459.600
0.120390	7331214.813
0.122068	7313522.001
0.123769	7295370.573
0.125495	7276749.750
0.127244	7257648.561
0.129018	7238055.848
0.130816	7217960.264
0.132640	7197350.274
0.134489	7176214.159
0.136363	7154540.016
0.138264	7132315.762
0.140191	7109529.135
0.142146	7086167.698
0.144127	7062218.842
0.146136	7037669.792
0.148173	7012507.612
0.150239	6986719.206
0.152333	6960291.330
0.154456	6933210.594
0.156609	6905463.472
0.158792	6877036.308
0.161006	6847915.328
0.163250	6818086.645
0.165526	6787536.274
0.167833	6756250.141
0.170173	6724214.093
0.172545	6691413.917
0.174950	6657835.350
0.177389	6623464.094
0.179861	6588285.835
0.182369	6552286.261
0.184911	6515451.076
0.187488	6477766.025
0.190102	6439216.916
0.192752	6399789.636
0.195438	6359470.185
0.198163	6318244.693
0.200925	6276099.455
0.203726	6233020.952
0.206566	6188995.889
0.209445	6144011.222
0.212365	6098054.197
0.215325	6051112.379
0.218326	6003173.698
0.221370	5954226.482
0.224455	5904259.503
0.227584	5853262.018
0.230757	5801223.816
0.233973	5748135.268
0.237235	5693987.371
0.240542	5638771.807
0.243895	5582480.993
0.247294	5525108.139
0.250742	5466647.306
0.254237	5407093.468
0.257781	5346442.576
0.261374	5284691.619
0.265017	5221838.697
0.268712	5157883.087
0.272457	5092825.313
0.276255	5026667.227
0.280106	4959412.074
0.284011	4891064.579
0.287970	4821631.019
0.291984	4751119.307
0.296054	4679539.071
0.300181	4606901.740
0.304365	4533220.625
0.308608	4458511.005
0.312910	4382790.212
0.317271	4306077.716
0.321694	4228395.208
0.326178	4149766.686
0.330725	4070218.539
0.335335	3989779.626
0.340009	3908481.359
0.344749	3826357.780
0.349555	3743445.634
0.354427	3659784.439
0.359368	3575416.559
0.364377	3490387.257
0.369456	3404744.760
0.374606	3318540.302
0.379828	3231828.172
0.385123	3144665.742
0.390491	3057113.500
0.395934	2969235.062
0.401453	2881097.174
0.407050	2792769.709
0.412724	2704325.645
0.418477	2615841.029
0.424310	2527394.930
0.430225	2439069.370
0.436222	2350949.241
0.442302	2263122.203
0.448468	2175678.564
0.454719	2088711.131
0.461058	2002315.050
0.467485	1916587.616
0.474001	1831628.061
0.480609	1747537.317
0.487308	1664417.752
0.494101	1582372.881
0.500988	1501507.049
0.507972	1421925.090
0.515053	1343731.954
0.522232	1267032.303
0.529512	1191930.095
0.536893	1118528.120
0.544377	1046927.527
0.551965	977227.317
0.559659	909523.817
0.567461	843910.125
0.575371	780475.547
0.583391	719305.008
0.591523	660478.451
0.599769	604070.228
0.608129	550148.486
0.616606	498774.546
0.625201	450002.296
0.633916	403877.582
0.642753	360437.621
0.651712	319710.440
0.660797	281714.338
0.670008	246457.390
0.679348	213936.992
0.688817	184139.469
0.698419	157039.738
0.708155	132601.045
0.718026	110774.785
0.728035	91500.409
0.738183	74705.433
0.748473	60305.553
0.758907	48204.874
0.769485	38296.262
0.780212	30461.827
0.791087	24573.533
0.802115	20493.957
0.813296	18077.174
0.824633	17169.792
0.836127	17612.120
0.847783	19239.465
0.859600	21883.566
0.871583	25374.130
0.883732	29540.483
0.896051	34213.296
0.908541	39226.388
0.921206	44418.565
0.934047	49635.482
0.947067	54731.494
0.960269	59571.460
0.973654	64032.472
0.987226	68005.470
1.000988	71396.708
1.014941	74129.024
1.029089	76142.885
1.043434	77397.169
1.057979	77869.640
1.072726	77557.101
1.087679	76475.180
1.102841	74657.745
1.118214	72155.925
1.133801	69036.738
1.149606	65381.335
1.165631	61282.870
1.181879	56844.034
1.198354	52174.289
1.215058	47386.871
1.231996	42595.609
1.249169	37911.660
1.266582	33440.249
1.284237	29277.499
1.302139	25507.479
1.320290	22199.563
1.338694	19406.218
1.357355	17161.323
1.376275	15479.101
1.395460	14353.757
1.414912	13759.872
1.434635	13653.569
1.454633	13974.478
1.474910	14648.432
1.495469	15590.844
1.516315	16710.639
1.537452	17914.594
1.558883	19111.898
1.580613	20218.718
1.602646	21162.528
1.624986	21885.953
1.647637	22349.883
1.670605	22535.625
1.693892	22445.899
1.717504	22104.525
1.741445	21554.742
1.765720	20856.145
1.790333	20080.366
1.815289	19305.680
1.840593	18610.866
1.866250	18068.704
1.892265	17739.609
1.918642	17665.928
1.945387	17867.457
1.972504	18338.719
2.000000	19048.464
