#q[A]	I[arb.]
0.002000	7985628.531
0.002028	7985623.272
0.002056	7985617.866
0.002085	7985612.308
0.002114	7985606.593
0.002143	7985600.718
0.002173	7985594.679
0.002204	7985588.470
0.002234	7985582.086
0.002265	7985575.523
0.002297	7985568.776
0.002329	7985561.840
0.002361	7985554.709
0.002394	7985547.378
0.002428	7985539.841
0.002462	7985532.092
0.002496	7985524.126
0.002531	7985515.936
0.002566	7985507.516
0.002602	7985498.860
0.002638	7985489.961
0.002675	7985480.812
0.002712	7985471.406
0.002750	7985461.737
0.002788	7985451.795
0.002827	7985441.575
0.002866	7985431.068
0.002906	7985420.266
0.002947	7985409.160
0.002988	7985397.743
0.003030	7985386.006
0.003072	7985373.938
0.003115	7985361.533
0.003158	7985348.778
0.003202	7985335.666
0.003247	7985322.186
0.003292	7985308.327
0.003338	7985294.080
0.003384	7985279.432
0.003432	7985264.373
0.003479	7985248.891
0.003528	7985232.975
0.003577	7985216.612
0.003627	7985199.790
0.003678	7985182.496
0.003729	7985164.716
0.003781	7985146.436
0.003833	7985127.644
0.003887	7985108.325
0.003941	7985088.463
0.003996	7985068.043
0.004052	7985047.050
0.004108	7985025.468
0.004166	7985003.280
0.004224	7984980.469
0.004282	7984957.018
0.004342	7984932.909
0.004403	7984908.123
0.004464	7984882.641
0.004526	7984856.444
0.004589	7984829.511
0.004653	7984801.823
0.004718	7984773.357
0.004784	7984744.092
0.004851	7984714.006
0.004918	7984683.075
0.004987	7984651.276
0.005056	7984618.585
0.005127	7984584.976
0.005198	7984550.423
0.005271	7984514.901
0.005344	7984478.381
0.005419	7984440.837
0.005494	7984402.238
0.005571	7984362.556
0.005648	7984321.761
0.005727	7984279.820
0.005807	7984236.702
0.005888	7984192.374
0.005970	7984146.801
0.006053	7984099.950
0.006138	7984051.783
0.006223	7984002.265
0.006310	7983951.356
0.006398	7983899.019
0.006487	7983845.213
0.006578	7983789.896
0.006669	7983733.027
0.006762	7983674.562
0.006856	7983614.456
0.006952	7983552.663
